School,SchoolID,first_name,last_name,gender,OEN,Student Grade Level,Enrollment Status,Reporting Period,Resp,Ind Work,Init,Org,Coll,Self Regulation,Read,Write,Oral Comm,Media Lit,Listen French ,Speak French ,Read French ,Write French,Num Sense Numeration,Meas,Geom and Spatial,Patt and Alg,Data Mgt,Science and Tech,Hist,Geog,Soc Studies,Health,Phys Ed,Dance,Drama,Music,Vis Arts
Stone Corner Community School,8097,Farah,Laetham,Female,505355783,2,0,R1,G,G,G,G,G,G,C-,C-,C,C,,,,,C,,C,C,C,B,,,B,B,B+,,B,B+,B
Fulton Elementary School,1350,Ernaline,Rainger,Female,369583612,7,0,R1,G,S,G,E,G,G,75,78,78,78,80,80,81,80,79,76,89,84,,79,,,,82,80,,75,80,72
Fulton Elementary School,1350,Wynn,Pedrocco,Male,826533655,3,0,R1,G,G,G,G,G,S,B+,B,A-,B,,,,,B-,C+,,B+,B+,B-,,,B,B+,B+,,A,A,B+
Fulton Elementary School,1350,Mignonne,Ridwood,Female,219246451,6,0,R1,E,E,E,E,E,E,A-,A-,B,B+,A-,A-,A-,B+,A,,B+,A,A-,A,,,A,A,A,,A,A-,A
Fulton Elementary School,1350,Janie,Asquez,Female,201712305,5,0,R1,S,S,G,N,G,S,B-,B,A,B,B,B,B+,,D+,C+,B-,C,C+,B-,,,B,B-,A-,,B+,B,B
Fulton Elementary School,1350,Alan,Woodrup,Male,231437080,8,0,R1,E,E,E,E,E,E,87,85,85,87,83,89,87,80,94,92,88,,92,91,,,,87,80,,74,88,88
Fulton Elementary School,1350,Amery,Gravells,Male,594054189,7,0,R1,S,S,S,S,G,S,68,72,78,75,80,80,81,78,79,79,85,88,,80,,,,70,69,,80,85,67
Fulton Elementary School,1350,Fulton,Jordi,Male,564982126,1,0,R1,E,G,G,E,E,G,B-,B-,A-,B+,,,,,A+,A,A,A,,A,,,A,A,A,B+,A,A,
Fulton Elementary School,1350,Petronille,Brockwell,Female,882072522,5,0,R1,S,G,G,G,G,S,B,B-,B,B-,B-,B,C+,,C,C,C,B,B,C,,,D+,C,A,,B,B,B-
Fulton Elementary School,1350,Claudianus,Haestier,Male,901894257,6,0,R1,S,G,G,S,G,S,C,C,C,B+,B-,B-,B-,B,D+,,R,D,C-,B-,,,B,A,A,,A-,B+,B+
Fulton Elementary School,1350,Nadia,Fulks,Female,434077718,8,0,R1,G,E,E,G,E,E,77,80,73,71,79,83,76,77,77,84,77,,75,73,,,,79,78,,75,87,75
Fulton Elementary School,1350,Keen,Elstub,Male,644868520,4,0,R1,E,E,E,E,E,G,B+,A,B,B+,B,B,,,B+,A,,A,A,A,,,B+,B+,A,,B+,B,B
Fulton Elementary School,1350,Blakeley,Sowle,Female,550465019,8,0,R1,G,G,G,G,G,G,73,75,74,76,79,79,78,78,75,77,73,,75,77,,,,79,75,,68,79,77
Fulton Elementary School,1350,Clarine,Kinman,Female,657833415,7,0,R1,G,G,G,E,G,G,71,70,72,73,74,76,75,74,59,56,74,70,,71,,,,82,74,,80,78,76
Fulton Elementary School,1350,Kevan,Upjohn,Male,219848210,8,0,R1,S,S,G,G,G,S,65,65,74,69,70,76,75,68,66,57,65,,62,67,,,,71,76,,68,80,73
Fulton Elementary School,1350,Kathe,Martinon,Female,166689204,5,0,R1,E,G,E,G,E,G,B,B-,B,B+,B,B+,B+,,B+,B,B,B,B,A,,,A,B-,A,,A,B,B+
Fulton Elementary School,1350,Auroora,Barszczewski,Female,576909126,1,0,R1,E,G,E,E,E,E,B-,B-,A-,B+,,,,,A-,A,A,A,,A,,,A,A,A,B,B+,A,
Fulton Elementary School,1350,Willdon,Ekless,Male,539827600,3,0,R1,S,S,S,S,S,S,D,C,C,B,,,,,D,C,,C-,D,C-,,,C-,C+,B,,C+,B,B
Fulton Elementary School,1350,Leonora,Tweddle,Female,586655184,4,0,R1,G,S,G,G,G,S,C,B,C,B,B-,B,,,B,D,,D,C,C+,,,B,B,B,,B,B+,A
Fulton Elementary School,1350,Andras,Antonopoulos,Male,127520058,6,0,R1,S,S,G,G,G,G,D-,D+,C+,B-,B-,B-,B-,B-,C,,B,R,R,D,,,B-,A,A,,B+,B-,B+
Fulton Elementary School,1350,Mitch,MacFaul,Male,945388179,5,0,R1,E,G,E,G,G,G,B,B,B+,A,A-,A-,A-,,B,B,B,B,B,B+,,,A-,B,A,,B,B+,B
Fulton Elementary School,1350,Murry,Doll,Male,349182364,4,0,R1,S,G,G,G,G,S,B,B,B-,A,B,B+,,,C,B-,B,B+,B,B-,,,C+,C,B-,,B,B,B-
Fulton Elementary School,1350,Sinclair,Jonk,Male,133727444,8,0,R1,N,N,N,S,N,N,55,64,70,71,65,70,68,68,61,R,R,,R,56,,,,56,72,,80,72,67
Fulton Elementary School,1350,Cordelie,Huish,Female,519512098,8,0,R1,S,G,G,E,G,G,69,72,57,75,76,70,75,72,55,70,68,,71,72,,,,71,65,,54,77,85
Fulton Elementary School,1350,Wiatt,Pugh,Male,214690638,8,0,R1,E,E,E,E,E,E,75,77,75,77,84,82,81,78,76,85,73,,75,83,,,,83,73,,77,78,78
Fulton Elementary School,1350,Koenraad,Gimblett,Male,317286775,6,0,R1,E,E,G,G,E,G,C,C+,B,A,A-,A-,A-,B+,B,,A-,B,A,C,,,B+,A,B+,,B+,A-,B+
Fulton Elementary School,1350,Keene,Livett,Male,313939857,5,0,R1,G,G,G,G,G,G,B,B,B-,A,A-,A-,A-,,B,B,B,B,C+,B-,,,B,B-,A-,,B,B,B
Fulton Elementary School,1350,Ronnie,Kilfeather,Female,655355435,8,0,R1,G,S,S,N,S,G,68,77,72,74,74,73,71,70,74,I,75,,63,69,,,,77,80,,72,74,79
Fulton Elementary School,1350,Verney,Dillow,Male,280405063,8,0,R1,N,N,N,N,N,N,61,50,66,66,,,,,R,R,R,,55,63,,,,61,72,,75,78,61
Fulton Elementary School,1350,Hannis,Dibdall,Female,449679210,5,0,R1,G,G,G,G,G,S,A-,B,B,A,A-,A-,A-,,B-,B,D+,B-,B,B-,,,B,B-,A-,,B,B,B
Fulton Elementary School,1350,Donetta,Brawley,Female,688983421,7,0,R1,S,S,S,S,G,S,60,65,60,60,68,70,72,68,52,55,60,R,,57,,,,70,80,,62,70,63
Fulton Elementary School,1350,Tessy,Dugood,Female,427728762,5,0,R1,S,S,G,G,G,N,C,C,C,B+,B-,B-,B-,,D,I,D,D,D,C-,,,D,D,B+,,B,B,B
Fulton Elementary School,1350,Quinlan,Hurdedge,Male,487343255,2,0,R1,S,G,E,S,E,S,C+,C,B+,B-,,,,,A-,A-,A-,A-,,A,,,B+,B,B,B+,A,B+,
Fulton Elementary School,1350,Poppy,Roebottom,Female,169545897,8,0,R1,S,G,G,G,S,S,72,75,76,74,71,70,74,72,66,75,75,,I,73,,,,74,72,,68,74,75
Fulton Elementary School,1350,Welsh,Tenaunt,Male,991312852,4,0,R1,G,E,G,G,E,G,B,A,B+,B+,B,B,,,B,B,,A,C,C+,,,B+,A,B,,B,B+,A
Fulton Elementary School,1350,Dinny,Attwool,Female,271616717,5,0,R1,G,G,G,G,G,G,C+,C+,B-,B,B+,A-,A-,,A,B-,B,B-,C+,B-,,,A,B,B,,B,B,A
Fulton Elementary School,1350,Morgun,O' Driscoll,Male,164002145,1,0,R1,G,S,E,G,S,G,C+,C+,B+,B+,,,,,B,B+,A-,B+,,B,,,B,B,B,B,B+,B,
Fulton Elementary School,1350,Paco,Brewitt,Male,116366261,4,0,R1,G,G,S,G,S,G,B-,B,B,B,B,B+,,,B-,A,,A,A,A,,,C+,B+,B,,A,B,B+
Fulton Elementary School,1350,Kit,Melby,Female,184745902,1,0,R1,E,S,G,S,S,G,C,C+,B+,B,,,,,B-,A-,B-,B+,,B,,,B+,B,B,B+,B,B,
Fulton Elementary School,1350,Babette,Ram,Female,940962914,1,0,R1,E,G,G,E,S,G,C-,C,B-,C+,,,,,B,B,B-,B-,,B,,,B-,B-,B-,B,B,B-,
Fulton Elementary School,1350,Bernardine,Pittham,Female,816790565,2,0,R1,G,G,G,G,G,S,B+,B-,B+,B-,,,,,B,C+,,B-,B,B,,,B+,B+,B,,A,A,B+
Fulton Elementary School,1350,Darcy,Spur,Male,434500943,4,0,R1,G,S,G,S,G,G,B,C,C+,B,B,B,,,C-,C,,C,C,B,,,B,B,B-,,A,B,B
Fulton Elementary School,1350,Lorry,Pimlock,Male,457747686,6,0,R1,E,E,G,G,E,G,C,C,B-,B-,B,B,B-,B,B-,,B,D-,B,C,,,B-,A,B,,B,A-,B-
Fulton Elementary School,1350,Dede,Kubin,Female,853842572,6,0,R1,G,G,G,G,G,G,B-,B-,B-,B-,C+,C-,C+,B-,B,,A,A+,B,B-,,,B-,A,B,,C+,C+,B-
Fulton Elementary School,1350,Layton,Yell,Male,958043653,8,0,R1,G,S,G,G,S,S,71,69,76,69,71,70,70,72,68,77,67,,70,74,,,,67,75,,79,89,67
Fulton Elementary School,1350,Kelbee,Boylin,Male,822781514,8,0,R1,G,S,G,G,G,G,70,73,76,77,68,70,76,71,81,60,78,,73,74,,,,74,73,,68,74,75
Fulton Elementary School,1350,Blondie,Grinnikov,Female,952963626,7,0,R1,E,G,E,E,E,G,72,74,82,74,80,78,80,71,85,75,72,83,,74,,,,82,82,,81,80,78
Fulton Elementary School,1350,L;urette,Pawlick,Female,197843598,6,0,R1,E,E,E,E,E,E,B-,B+,B,A,A-,A-,A-,B+,B+,,A+,A+,A,A,,,A,A,A,,B+,B+,A
Fulton Elementary School,1350,Howard,Alberts,Male,694274847,8,0,R1,,,,,,,72,65,I,I,I,I,I,I,69,I,I,,I,I,,,,I,,,I,I,I
Fulton Elementary School,1350,Dulsea,Whetton,Female,636690590,6,0,R1,,,,,,,I,C-,B-,I,I,I,I,I,I,,I,A+,I,C+,,,I,I,B+,,I,I,C
Fulton Elementary School,1350,Vidovik,Beeck,Male,942814895,5,0,R1,,,,,,,C,C,D,I,I,I,I,,D,I,I,D,I,I,,,I,I,,,D,R,B
Fulton Elementary School,1350,Tymothy,MacMeeking,Male,592971268,1,0,R1,,,,,,,I,I,I,I,,,,,B,I,I,I,,I,,,B-,B,A,I,B,I,
Fulton Elementary School,1350,Lynnell,Maryon,Female,560705791,3,0,R1,G,G,S,G,G,G,B+,B-,B,B,,,,,A,B,,A,A,B,,,B+,B-,A,,B+,B,A
Fulton Elementary School,1350,Padgett,Crellim,Male,280450523,5,0,R1,G,G,G,G,G,G,A-,B,B,B,A-,A-,A-,,A-,B,A-,A,A,A,,,A,B,B+,,B,B,B-
Fulton Elementary School,1350,Hubey,Kernaghan,Male,531700643,8,0,R1,,,,,,,67,59,I,I,I,I,I,I,67,I,I,,I,I,,,,I,,,I,I,I
Fulton Elementary School,1350,Lombard,Jeenes,Male,363829854,1,0,R1,S,N,N,N,N,N,D,C-,C-,B-,,,,,C+,B+,I,I,,B-,,,B-,B-,C+,B,B+,B-,
Fulton Elementary School,1350,Boote,O'Sesnane,Male,413487019,6,0,R1,S,G,G,S,G,G,B-,B+,B-,B+,B-,B-,C+,B-,B,,A,A,B,B,,,B-,A,B,,C+,B-,A-
Fulton Elementary School,1350,Iona,Tims,Female,874855578,6,0,R1,E,E,E,E,E,E,A-,A,A-,A+,A-,A-,A-,A,A-,,A-,A,A,A-,,,A,A,B,,A-,B+,A
Fulton Elementary School,1350,Bent,Vaissiere,Male,986333830,3,0,R1,G,S,S,G,E,G,B,C+,B,B+,,,,,B+,A-,,B+,B+,B,,,B-,B+,A,,B+,B,B
Fulton Elementary School,1350,Bell,Zellick,Female,603100731,5,0,R1,E,G,G,G,G,G,A,B,B+,B-,B,B,B+,,A-,B,A-,B+,B,B,,,B,B,B-,,B,B,B
Fulton Elementary School,1350,Cathi,Flobert,Female,733024873,1,0,R1,E,E,G,E,S,S,B+,B+,B-,B-,,,,,B,A,A-,B+,,A,,,A-,B-,B-,B-,B,B-,
Fulton Elementary School,1350,Isidore,Clutterham,Male,839372273,5,0,R1,G,G,G,G,G,G,C+,B-,C+,B-,B,B,B,,B-,B-,B,C+,B-,C,,,D+,B,A,,B,B,B
Fulton Elementary School,1350,Augusta,Bontein,Female,235824569,1,0,R1,S,G,G,S,S,G,C-,C,C+,B,,,,,B-,B+,I,I,,B-,,,B-,B,B,B,B,A-,
Fulton Elementary School,1350,Frederich,McTrustie,Male,441121089,2,0,R1,S,S,G,S,G,S,D,D,C+,C,,,,,D+,C-,,D+,C-,C+,,,C+,B,B+,,A,B,B-
Fulton Elementary School,1350,Pippy,Trimbey,Female,645332721,4,0,R1,E,E,E,E,E,E,B+,A,A,B+,A-,A-,,,A,A,,A,A,A,,,A,A,B+,,A,B+,A
Fulton Elementary School,1350,Thea,Mohring,Female,259448092,7,0,R1,S,N,S,N,S,N,65,62,67,68,66,65,76,70,72,68,70,66,,70,,,,68,66,,70,70,67
Fulton Elementary School,1350,Thain,Dickons,Male,359270157,7,0,R1,E,E,E,E,E,E,78,78,82,79,80,82,80,80,81,90,85,81,,84,,,,83,84,,83,79,72
Fulton Elementary School,1350,Khalil,Patrono,Male,337795879,7,0,R1,G,S,G,S,G,S,72,68,76,74,79,77,82,84,82,72,75,66,,77,,,,75,70,,70,79,68
Fulton Elementary School,1350,Glen,Cristofori,Female,881088078,7,0,R1,S,N,S,N,S,N,60,60,70,60,74,70,72,75,52,52,71,56,,63,,,,78,70,,73,84,67
Fulton Elementary School,1350,Lawrence,Crowdy,Male,412486709,5,0,R1,E,G,E,G,G,G,A,B+,B+,A,A-,A-,A-,,A,B,A,B,A-,B,,,A,B,A,,B,B,C+
Fulton Elementary School,1350,Scarface,Mathy,Male,956700642,3,0,R1,G,G,S,G,G,S,B+,B,C,B,,,,,B,A,,B+,C,C+,,,B,B,B,,B,B,B
Fulton Elementary School,1350,Emogene,MacKibbon,Female,810810411,7,0,R1,N,N,N,N,S,N,62,58,65,60,67,66,68,63,64,62,72,R,,59,,,,68,67,,55,67,56
Fulton Elementary School,1350,Ave,Keele,Male,326650880,3,0,R1,S,S,S,N,G,S,B,C+,C,B,,,,,B+,B,,C,D,D,,,C-,B,B,,C,C,C-
Fulton Elementary School,1350,Shane,Hedworth,Male,296594094,2,0,R1,E,G,G,E,G,G,B+,B,B+,A,,,,,A,B+,,A-,A-,A-,,,A-,A,B+,,A-,A,B
Fulton Elementary School,1350,Yank,McGaughie,Male,678155356,3,0,R1,E,E,G,E,E,G,A,B,B,B,,,,,B+,B,,B+,A,A,,,B,B,B,,B,B,A
Fulton Elementary School,1350,Ottilie,Rubica,Female,134086281,4,0,R1,G,S,G,S,E,G,A,C,B+,C,A-,A-,,,C,B,A-,B-,B,A,,,A,B+,A-,,B,B,D
Fulton Elementary School,1350,Archy,MacGown,Male,557454688,3,0,R1,E,E,G,E,E,G,A,B+,B+,B+,,,,,A,A,,A,C,A,,,B+,A,A,,A,A,A
Fulton Elementary School,1350,Raychel,Simnel,Female,174771009,5,0,R1,G,G,G,G,G,G,B,B,B,B-,B+,B+,B,,B,B,B,B,B-,C+,,,C,B,B,,B,B,B
Fulton Elementary School,1350,Augustina,Deboy,Female,875206036,7,0,R1,G,S,G,S,S,S,62,60,63,60,76,75,74,72,68,62,77,67,,60,,,,78,77,,70,75,62
Fulton Elementary School,1350,Lynde,Clark,Female,519004157,8,0,R1,N,G,N,G,N,N,67,R,75,75,61,I,68,60,72,60,73,,69,70,,,,61,70,,77,80,69
Fulton Elementary School,1350,Gal,Barenski,Male,328230656,8,0,R1,E,G,G,E,G,G,70,72,71,75,77,76,80,80,68,77,69,,78,74,,,,63,73,,67,75,78
Fulton Elementary School,1350,Ernst,Olerenshaw,Male,458102761,4,0,R1,E,E,E,E,E,G,A,A,B,B+,B+,B+,,,A,B-,,B,A,A,,,A,A,B,,A,B+,A
Fulton Elementary School,1350,Bartholemy,Gilvear,Male,601899823,4,0,R1,E,E,E,E,E,G,A,B+,A,B+,B+,B+,,,A,B,,B-,A,A,,,A,A,A,,A,B+,A
Fulton Elementary School,1350,Gilbert,Mulrenan,Male,830477186,8,0,R1,G,N,S,N,N,N,53,55,67,65,61,62,65,66,61,R,58,,57,58,,,,R,67,,65,70,69
Fulton Elementary School,1350,El,Speere,Male,262725748,7,0,R1,S,S,S,N,G,S,67,62,76,72,70,70,70,72,75,71,76,70,,72,,,,81,69,,80,72,60
Fulton Elementary School,1350,Claiborne,Toopin,Male,952452108,8,0,R1,E,E,E,E,E,E,73,74,78,71,78,79,78,77,78,88,76,,73,73,,,,73,73,,76,81,74
Fulton Elementary School,1350,Loralee,Meller,Female,503330292,7,0,R1,S,S,S,S,S,S,58,60,83,70,68,68,76,73,53,65,65,53,,70,,,,76,69,,77,68,60
Fulton Elementary School,1350,Harmonia,Welbelove,Female,183559711,6,0,R1,G,G,G,S,G,G,B,B,B,A,A-,B+,A-,B+,A,,B+,A+,B,B,,,B+,A,B,,B,B+,B-
Fulton Elementary School,1350,Rafi,Vallis,Male,983357134,2,0,R1,E,G,G,E,G,G,B+,B,B+,A,,,,,A,B-,,A-,A,A-,,,A-,A,B-,,A,A,A-
Fulton Elementary School,1350,Constancy,Umpleby,Female,646437004,2,0,R1,S,S,G,N,G,S,B,B,B+,B+,,,,,B+,B,,B+,A-,B,,,A-,A-,B,,A-,B+,B+
Fulton Elementary School,1350,Wallie,Hudspeth,Male,530483807,2,0,R1,S,N,S,S,G,S,B+,B-,B-,A,,,,,B,B,,B,B+,B,,,A-,A,B-,,A-,B+,B+
Fulton Elementary School,1350,Gareth,Shire,Male,822279835,4,0,R1,G,G,E,G,G,G,B-,B,B,B,B,B,,,C+,B,,C,A,A,,,B+,B,A,,B+,B,B+
Fulton Elementary School,1350,Madge,Couvet,Female,750008170,8,0,R1,E,S,N,S,S,S,68,65,76,63,65,64,68,63,60,54,53,,60,63,,,,72,72,,72,77,63
Fulton Elementary School,1350,Nil,Tremathack,Male,347248894,6,0,R1,E,G,E,E,E,G,A-,A-,B+,B-,B+,B+,B+,B,B+,,C-,A+,B+,B+,,,A-,A,A,,A-,B+,A-
Fulton Elementary School,1350,Konstanze,Casini,Female,967540605,2,0,R1,E,E,G,E,G,S,C+,C+,B+,B+,,,,,A-,A,A+,A+,,A-,,,B+,A,B+,B,B+,B-,
Fulton Elementary School,1350,Koenraad,Haverson,Male,900169327,4,0,R1,G,G,S,G,G,G,C,C+,C,B,B,B,,,A,B,,B,A,B,,,B-,B,A,,B+,B,B
Fulton Elementary School,1350,Alexine,Sole,Female,811031200,4,0,R1,S,G,S,G,G,G,B-,C+,C,B,B,B,,,B,C,,C,A,B+,,,C+,B,B+,,B,B,B
Fulton Elementary School,1350,Mavis,Riglar,Female,229643652,3,0,R1,S,N,S,S,G,S,R,R,C-,C-,,,,,R,C-,,D-,C-,C+,,,D,B,B,,B-,B,B-
Fulton Elementary School,1350,Aguie,Davitti,Male,284405940,6,0,R1,G,G,G,E,E,E,B,B-,B-,B,B-,B-,C+,C+,B+,,B-,A-,B+,B+,,,B,A,A,,B,B-,B+
Fulton Elementary School,1350,Dita,Tween,Female,690072680,4,0,R1,G,G,G,G,G,G,B-,B,C,B+,B+,A-,,,B,B,B,B-,B,B,,,B-,B,A,,B,B,B
Fulton Elementary School,1350,Johann,Odger,Male,378869564,2,0,R1,G,E,G,G,G,G,B-,B,B+,B+,,,,,B-,B-,,C+,B,B+,,,A-,A,A,,A,A,A-
Fulton Elementary School,1350,Spike,Kenney,Male,318375103,6,0,R1,G,G,G,S,G,G,B,B-,B-,B,B,B+,B,B-,C+,,C+,C-,A-,B,,,B,A,B,,B,B,B
Fulton Elementary School,1350,Whitby,Whysall,Male,158377808,7,0,R1,G,G,G,G,G,G,60,65,68,60,68,68,71,74,62,57,63,62,,65,,,,76,68,,66,70,61
Fulton Elementary School,1350,Abbi,Merrison,Female,249162218,8,0,R1,E,G,G,G,E,G,72,77,71,75,74,77,76,79,72,82,79,,85,78,,,,69,75,,72,77,80
Fulton Elementary School,1350,Diana,Linge,Female,946965269,1,0,R1,G,E,N,G,S,N,A-,B,A+,A-,,,,,A-,A,A,A,,A,,,A,A,B-,B,B+,A,
Fulton Elementary School,1350,Teodorico,Janousek,Male,742319942,3,0,R1,G,G,G,G,E,G,B,B,B-,B+,,,,,B,B+,,B+,A,A,,,B+,B+,B,,A,B,A
Fulton Elementary School,1350,Trixi,Domican,Female,833483955,1,0,R1,E,G,E,E,G,G,B-,B,A-,B,,,,,A-,A,A,A,,A-,,,A,B,B,B,B+,B-,
Fulton Elementary School,1350,Duffie,Rigney,Male,447769143,5,0,R1,G,G,G,G,G,S,B-,C,B,B-,B+,B+,B,,C-,B,B-,B-,B,B-,,,B-,C,B+,,C+,B,B-
Fulton Elementary School,1350,Ryon,Frankum,Male,382865249,7,0,R1,G,G,E,G,G,G,73,70,76,74,76,75,75,78,81,80,82,70,,69,,,,80,75,,80,79,70
Fulton Elementary School,1350,Shaina,Adshead,Female,231176855,5,0,R1,G,G,G,G,G,G,B-,B,B,B-,B+,B,B+,,A-,B,A-,B,B+,B,,,A,B,B-,,B-,B,B
Fulton Elementary School,1350,Paula,Brouncker,Female,613769888,2,0,R1,G,S,S,S,G,S,C,C-,B-,B,,,,,B,B+,,B-,B-,B,,,B+,A,A-,,A,A,B-
Fulton Elementary School,1350,Sadella,Rittmeyer,Female,504730014,3,0,R1,S,N,S,S,G,S,D+,D+,B,B-,,,,,D+,C-,,C-,C-,C+,,,C-,B,B+,,A,B,B+
Fulton Elementary School,1350,Pieter,Creebo,Male,250855949,7,0,R1,N,S,S,N,N,S,57,57,68,60,67,68,75,67,54,51,65,R,,65,,,,68,70,,62,70,71
Fulton Elementary School,1350,Danyette,Lardez,Female,245900583,4,0,R1,E,E,E,E,E,G,B,A,B+,B+,B+,B+,,,A,B,,B,A,A,,,A,A,B+,,A,B+,B
Fulton Elementary School,1350,Donny,Dykins,Male,447498510,1,0,R1,N,E,S,S,N,S,D+,D,B-,C,,,,,C+,C,C,C,,B,,,A-,B-,C,B-,B,C,
Fulton Elementary School,1350,Ernest,Blasli,Male,421232916,2,0,R1,G,S,S,S,G,S,B+,C,C+,B,,,,,B+,B+,,B-,B-,B,,,B+,B+,B,,B,B,C
Fulton Elementary School,1350,Deena,Cockney,Female,478395718,8,0,R1,S,S,G,S,G,G,76,81,75,75,80,80,80,78,86,80,81,,79,79,,,,80,73,,75,80,66
Fulton Elementary School,1350,Mei,Wincer,Female,878270897,2,0,R1,E,E,G,E,G,G,B,B+,B,B,,,,,B-,B,,B,A-,A-,,,B+,A,B+,,A-,A,A-
Fulton Elementary School,1350,Giacinta,Tomsu,Female,625191476,4,0,R1,N,N,S,S,S,N,C-,D,C,C+,B-,B-,,,R,R,,D,R,D,,,D,C,B,,A-,B,C+
Fulton Elementary School,1350,Ibrahim,Bartolomucci,Male,988525981,6,0,R1,E,E,G,G,G,G,B+,B+,B,B-,B+,B+,B+,B+,A-,,B+,A-,A-,A,,,A,A,A,,B+,A-,B+
Fulton Elementary School,1350,Isadora,Moncreiffe,Female,888618064,7,0,R1,G,S,G,S,S,G,57,60,60,62,65,66,65,64,60,58,65,63,,58,,,,68,68,,64,70,57
Fulton Elementary School,1350,Laetitia,Runciman,Female,429127384,8,0,R1,N,S,S,N,S,S,74,80,72,72,78,77,78,80,83,80,80,,84,80,,,,77,77,,73,77,56
Fulton Elementary School,1350,Drucy,Minshaw,Female,779069556,2,0,R1,G,S,S,S,G,S,C+,C,B+,B+,,,,,B-,A,B,B,,A,,,B+,A,B,B,B+,B+,
Fulton Elementary School,1350,Tibold,Viscovi,Male,496438008,6,0,R1,E,E,E,E,E,E,B+,A,B,B-,B+,B,B+,B,A+,,A-,A+,A+,A,,,A,A,A,,A-,B+,A
Fulton Elementary School,1350,Gennie,Gilchrist,Female,203923692,7,0,R1,E,E,G,E,E,E,78,79,80,76,83,82,83,81,89,85,83,73,,77,,,,82,77,,81,80,74
Fulton Elementary School,1350,Anabella,Maus,Female,914894042,6,0,R1,E,G,G,G,E,G,C+,B-,B+,B+,B,B,B+,B,B+,,B,B+,C,B,,,B,A,B,,B+,B,A
Fulton Elementary School,1350,Cassandra,Warkup,Female,204812388,4,0,R1,E,E,E,E,E,G,B,B,B,B,A-,A-,,,B+,A,,A,A,A,,,A,B+,B,,A-,B,B
Fulton Elementary School,1350,Mei,Chauvey,Female,238125563,2,0,R1,G,S,S,G,G,S,C,C+,B-,B,,,,,C,C,,C,C+,B,,,B,A,B+,,A-,A,B+
Fulton Elementary School,1350,Deedee,Belf,Female,920655094,1,0,R1,S,N,S,S,S,N,D+,C,C-,B-,,,,,C+,B-,C+,B-,,C+,,,C+,B,B-,B-,B,B-,
Fulton Elementary School,1350,Worden,Eckhard,Male,278115587,8,0,R1,E,G,G,S,E,G,79,83,83,84,84,82,83,81,85,87,86,,85,83,,,,85,74,,84,82,82
Fulton Elementary School,1350,Piggy,Venney,Male,306739595,4,0,R1,G,E,E,G,G,G,A,A,B,A,A-,A-,,,B,B,C,A,B,B+,,,B-,B+,A,,B,B,A
Fulton Elementary School,1350,Roland,Stayte,Male,968042081,4,0,R1,E,E,G,E,E,G,B+,C+,B,B+,A-,A-,,,A,B,,B,A,B+,,,B+,B+,B-,,A,B+,B
Fulton Elementary School,1350,Alfonso,Sarjeant,Male,853613089,6,0,R1,G,G,G,S,G,S,C+,B-,B-,B-,B+,B+,B-,B,A-,,B-,B,C-,B+,,,B,A,B+,,B+,A-,B-
Fulton Elementary School,1350,Sandor,Bloyes,Male,497700240,4,0,R1,E,E,E,E,E,G,A,A,A,B+,A-,A-,,,A,B,,A,A,A,,,A,B+,B-,,B,B,A
Fulton Elementary School,1350,Darn,Dowers,Male,982025525,6,0,R1,G,G,E,S,G,S,B,B-,B,B-,B+,A-,A-,B+,A,,C,B,A-,A-,,,B+,A,B,,B,B+,A-
Fulton Elementary School,1350,Cristine,Elcott,Female,925884623,7,0,R1,E,E,E,E,E,E,82,82,78,82,87,88,85,86,96,90,83,92,,85,,,,83,73,,84,82,79
Fulton Elementary School,1350,Lion,Nand,Male,453520860,2,0,R1,G,G,E,N,G,G,A+,A,A,A,,,,,A+,A,,A+,A,A,,,A,A,A,,A,A,A
Fulton Elementary School,1350,Stace,Guilford,Female,241919050,3,0,R1,G,G,G,S,G,S,B-,B+,A-,A,,,,,B,B+,,B+,A-,B,,,B,A,A,,A,B+,A-
Fulton Elementary School,1350,Esther,Hurren,Female,807750112,6,0,R1,G,G,G,G,G,G,C,B-,B,B-,B,B+,B,B-,B-,,C-,A,C-,B,,,B-,A,A,,B,B,B-
Fulton Elementary School,1350,Kittie,Holtom,Female,124890817,5,0,R1,G,G,G,G,G,G,B+,B+,B,B,B+,B+,B,,B-,B,A,C,B,B-,,,B-,B+,A-,,B,B,B
Fulton Elementary School,1350,Koressa,Dooly,Female,495983860,2,0,R1,G,S,G,G,G,S,C+,C,B+,B,,,,,C+,B-,,C+,B-,A-,,,B+,A-,A-,,A,A,B+
Fulton Elementary School,1350,Corene,Purkins,Female,766340067,1,0,R1,G,N,N,E,G,S,B-,B-,A,A-,,,,,A,A,A,A,,A-,,,A-,A,A,B,B+,B,
Fulton Elementary School,1350,Lena,Walshe,Female,138633779,6,0,R1,G,S,G,S,G,G,A,A-,B+,B-,A-,A-,A-,B+,A,,C,A,B+,B+,,,A-,A,B,,B,A,B
Fulton Elementary School,1350,Scottie,Limpkin,Male,573668272,7,0,R1,E,E,E,E,E,E,82,80,80,80,83,81,82,84,96,93,90,92,,80,,,,83,81,,80,80,79
Fulton Elementary School,1350,Jesse,Stripp,Male,664435562,1,0,R1,S,E,S,S,G,S,D+,C,C,C+,,,,,C+,B+,B-,A-,,B+,,,B+,B,C+,B,B,C,
